CodeSection,count,coverage_pct,norm_section,category_auto
46.2-938,39,98.80154071940487,46.2-938,traffic
23-22(18.2-388),38,98.80571194606384,23-22,
21-1/46.2-852,38,98.8098831727228,21-1,
46.2-111,38,98.81405439938177,46.2-111,traffic
53.1-116.3,38,98.81822562604074,53.1-116.3,corrections_related
18.2-456(3),38,98.82239685269971,18.2-456,obstruction_justice
18.2-192(1)(A),38,98.82656807935868,18.2-192,fraud_financial
46.2-1030,37,98.83062953689505,46.2-1030,traffic
46.2-895,37,98.83469099443141,46.2-895,traffic
18.2-328,37,98.83875245196778,18.2-328,
46.2-864,37,98.84281390950414,46.2-864,traffic
46.2-1013,37,98.84687536704051,46.2-1013,traffic
18.2-57.3,37,98.85093682457686,18.2-57.3,violent
18.2-152.14,37,98.85499828211323,18.2-152.14,property
18.2-438,37,98.8590597396496,18.2-438,
46.2-324,37,98.86312119718596,46.2-324,traffic
B.18.2-268.3,36,98.86707288559971,18.2-268.3,dui_traffic_criminal
3.2-6524,36,98.87102457401348,3.2-6524,animal_cruelty
19.2-182.8,35,98.87486649330464,19.2-182.8,procedural_other
25-282,35,98.87870841259578,25-282,
2026-04-23 00:00:00,35,98.88255033188695,2026-04-23 00:00:00,
21-1/46.2-833,34,98.88628248205549,21-1,
18.2-374.1:1(B),34,98.89001463222404,18.2-374.1:1,public_order
18.2-479.1,34,98.8937467823926,18.2-479.1,obstruction_justice
46.2-1014,34,98.89747893256114,46.2-1014,traffic
18.2-137(B)(I),34,98.90121108272969,18.2-137,property
4.1-306,34,98.90494323289825,4.1-306,
4.1-1105.1,33,98.90856561394419,4.1-1105.1,
18.2-22/18.2-91,33,98.91218799499013,18.2-22,
18.2-95(II),33,98.91581037603608,18.2-95,property
3.2-6569,33,98.91943275708203,3.2-6569,animal_cruelty
18.2-127,33,98.92305513812798,18.2-127,property
18.2-144.1,32,98.92656775005132,18.2-144.1,property
18.2-265.3,32,98.93008036197466,18.2-265.3,drug
46.2-838,32,98.933592973898,46.2-838,traffic
16.1-279.1,32,98.93710558582134,16.1-279.1,juvenile_family
58.1-4018,32,98.94061819774468,58.1-4018,
18.2-348,32,98.94413080966802,18.2-348,
18.2-370.2,32,98.94764342159137,18.2-370.2,juvenile_family
3.2-6571(A1),32,98.9511560335147,3.2-6571,animal_cruelty
23-7.1,31,98.95455887631545,23-7.1,
23-10,31,98.95796171911618,23-10,
B.46.2-1095,31,98.96136456191692,46.2-1095,traffic
46.2-803.1,31,98.96476740471766,46.2-803.1,traffic
C.46.2-873,31,98.9681702475184,46.2-873,traffic
18.2-250(A),30,98.97146332119652,18.2-250,drug
23-22.1,30,98.97475639487466,23-22.1,
18.2-370.6,30,98.9780494685528,18.2-370.6,juvenile_family
18.2-270.1,30,98.98134254223092,18.2-270.1,dui_traffic_criminal
46-157,30,98.98463561590906,46-157,
C.46.2-707,30,98.98792868958719,46.2-707,traffic
18.2-473.2,30,98.99122176326533,18.2-473.2,obstruction_justice
18.2-54.2,30,98.99451483694345,18.2-54.2,violent
