CodeSection,count,coverage_pct
4.1-1105.1,33,98.90856561394419
18.2-22/18.2-91,33,98.91218799499013
18.2-95(II),33,98.91581037603608
3.2-6569,33,98.91943275708203
18.2-127,33,98.92305513812798
18.2-144.1,32,98.92656775005132
18.2-265.3,32,98.93008036197466
46.2-838,32,98.933592973898
16.1-279.1,32,98.93710558582134
58.1-4018,32,98.94061819774468
18.2-348,32,98.94413080966802
18.2-370.2,32,98.94764342159137
3.2-6571(A1),32,98.9511560335147
23-7.1,31,98.95455887631545
23-10,31,98.95796171911618
B.46.2-1095,31,98.96136456191692
46.2-803.1,31,98.96476740471766
C.46.2-873,31,98.9681702475184
18.2-250(A),30,98.97146332119652
23-22.1,30,98.97475639487466
18.2-370.6,30,98.9780494685528
18.2-270.1,30,98.98134254223092
46-157,30,98.98463561590906
C.46.2-707,30,98.98792868958719
18.2-473.2,30,98.99122176326533
18.2-54.2,30,98.99451483694345
18.2-51.6(A),30,98.99780791062159
16-3.1,29,99.00099121517712
18.2-204.1,29,99.00417451973264
18.2-153,29,99.00735782428818
46.2-1564,29,99.0105411288437
18.2-447,29,99.01372443339923
18.2-435,29,99.01690773795475
A.46.2-819.1,29,99.02009104251029
46.2-1565,28,99.0231645779432
21-1/18.2-266,28,99.02623811337614
4.1-1107,28,99.02931164880906
18.2-126,28,99.03238518424199
46.2-806,28,99.0354587196749
27-100,28,99.03853225510782
18.2-362,28,99.04160579054076
19.2-100,28,99.04467932597368
46.2-835,28,99.04775286140661
A.46.2-1030,28,99.05082639683953
54-32,28,99.05389993227246
21-1/46.2-825,27,99.05686369858277
21-1/46.2-870,27,99.05982746489309
18.2-178.2,27,99.0627912312034
46-209,27,99.06575499751374
19.2-266.4,27,99.06871876382405
18.2-374.4,27,99.07168253013437
46.2-878.2,26,99.07453652732208
46.2-878.1,26,99.0773905245098
46.2-349,26,99.08024452169751
B.46.2-1112,26,99.08309851888522
29-73.1,26,99.08595251607295
18.2-196,25,99.08869674413805
46.2-1095,25,99.09144097220316
18.2-456 A6,25,99.09418520026827
46.2-865.1,25,99.09692942833338
21-1/46.2-816,25,99.0996736563985
46.2-863,25,99.1024178844636
46.2-1561,25,99.10516211252872
A.46.2-357,25,99.10790634059383
18.2-152.5:1,25,99.11065056865894
46.2-877,25,99.11339479672405
C.18.2-248,25,99.11613902478916
18.2-182,25,99.11888325285427
A.46.2-829,25,99.12162748091939
19.2-295.2:1,25,99.1243717089845
18.2-162,25,99.12711593704961
55.1-2820,25,99.12986016511472
18.2-472.1(A),25,99.13260439317982
21-1/46.2-646,24,99.13523885212233
18.2-456 (A5),24,99.13787331106484
18.2-67.1(A)(1),24,99.14050777000735
C.46.2-881,24,99.14314222894986
18.2-79,24,99.14577668789235
46.2-915.1,24,99.14841114683486
18.2-308(A),24,99.15104560577737
18.2-370(A),24,99.15368006471988
18.2-93,23,99.15620475453977
18.2-371.2,23,99.15872944435968
46.2-845,23,99.16125413417959
18.2-132,23,99.16377882399948
18.2-308.4(C),23,99.16630351381939
18.2-308.4(B),23,99.16882820363928
B.46.2-1158,23,99.17135289345919
18.2-165.2,22,99.17376781415649
5-530,22,99.17618273485378
46.2-665,22,99.17859765555107
46.2-308,22,99.18101257624838
4.1-308,22,99.18342749694567
A.46.2-856,22,99.18584241764297
18.2-260.1,22,99.18825733834026
16.1-285.2,22,99.19067225903757
29.1-553,22,99.19308717973486
18.2-371.1(A),22,99.19550210043217
29.1-550,21,99.19780725200685
46.2-613(3),21,99.20011240358154
46.2-1053,21,99.20241755515625
18.2-195.2,21,99.20472270673093
19.2-62,21,99.20702785830562
29.1-564,21,99.20933300988032
46.2-1002,21,99.21163816145501
999999999999999,21,99.2139433130297
18.2-186.3(D),21,99.21624846460439
